corporate_identification_number,company_name,registered_state,date,rank
U85300BR2020NPL045257,BIDA FOUNDATION,Bihar,2020-01-30,2
U85310BR2020PTC045250,BODHI EMERGENCY HOSPITAL PRIVATE LIMITED,Bihar,2020-01-30,2
U80900BR2020OPC045255,ORIENNOVA UNIVERSAL EDUVISION (OPC)PRIVATE LIMITED,Bihar,2020-01-30,2
U80902BR2020PTC045249,VAIDEHISHREE INFOTECH PRIVATE LIMITED,Bihar,2020-01-30,2
U35999BR2020PTC045262,UNNAT NALANDA AVIATION PRIVATE LIMITED,Bihar,2020-01-30,2
U36999BR2020OPC045261,SUDHIRENU FURNITURE (OPC) PRIVATELIMITED,Bihar,2020-01-30,2
U45209BR2020PTC045258,MSBK INFRASTRUCTURE PRIVATE LIMITED,Bihar,2020-01-30,2
U23209BR2020PTC045252,KRRISHAY BIOFUELS PRIVATE LIMITED,Bihar,2020-01-30,2
U52311BR2020PTC045260,ZAHAVA PHARMACEUTICAL PRIVATE LIMITED,Bihar,2020-01-30,2
U52330BR2020PTC045254,SIYA ELECTRONICS PRIVATE LIMITED,Bihar,2020-01-30,2
U45309BR2020PTC045259,RAJNANDINI BUILDCON PRIVATE LIMITED,Bihar,2020-01-30,2
U45309BR2020PTC045263,SHANVIKA ENGICON PRIVATE LIMITED,Bihar,2020-01-30,2
U74999BR2020PTC045243,RSY FILMS PRIVATE LIMITED,Bihar,2020-01-30,2
U74999BR2020PTC045244,ARYASH DEVELOPERS PRIVATE LIMITED,Bihar,2020-01-30,2
U74999BR2020PTC045245,KAIZENSOFT PRIVATE LIMITED,Bihar,2020-01-30,2
U74999BR2020PTC045253,RAMAJI CONSULTANCY SERVICES PRIVATELIMITED,Bihar,2020-01-30,2
U74999BR2020PTC045256,SHRISTI DIVYA SHAKTI WELLNESS LIFE CAREPRIVATE LIMITED,Bihar,2020-01-30,2
U24110BR2020PTC045217,BABNL HERBAL INDIA MARKETING PRIVATELIMITED,Bihar,2020-01-29,3
U24246BR2020PTC045238,TAION REMEDIES PRIVATE LIMITED,Bihar,2020-01-29,3
U28100BR2020OPC045228,BEVIDEVI ENTERPRISES (OPC) PRIVATELIMITED,Bihar,2020-01-29,3
U31905BR2020PTC045214,E7 IRAIL PRIVATE LIMITED,Bihar,2020-01-29,3
U31909BR2020PTC045213,RASDA INDIA PRIVATE LIMITED,Bihar,2020-01-29,3
U31909BR2020PTC045233,ECO STATION PRIVATE LIMITED,Bihar,2020-01-29,3
U24304BR2020PTC045239,METSYN PHARMACEUTICALS PRIVATE LIMITED,Bihar,2020-01-29,3
U51909BR2020PTC045229,HOPKINS EXPORTS PRIVATE LIMITED,Bihar,2020-01-29,3
U67190BR2020PLN045215,SWET RATN NIDHI LIMITED,Bihar,2020-01-29,3
U70100BR2020PTC045225,GREEN SHINE INFRA PRIVATE LIMITED,Bihar,2020-01-29,3
U45201BR2020PTC045231,RANJANS PRIDE PRIVATE LIMITED,Bihar,2020-01-29,3
U45201BR2020PTC045235,ZASY CONSTRUCTION PRIVATE LIMITED,Bihar,2020-01-29,3
U15141BR2020PTC045216,R3MAGRI PRIVATE LIMITED,Bihar,2020-01-29,3
U15400BR2020PTC045218,BRAHAMRSHI AGRI FOOD PRIVATE LIMITED,Bihar,2020-01-29,3
U63030BR2020PTC045226,SINGHSUNITA AUTOMOBILES PRIVATE LIMITED,Bihar,2020-01-29,3
U80904BR2020PTC045224,WINNERS EDUVENTURES PRIVATE LIMITED,Bihar,2020-01-29,3
U36100BR2020PTC045240,VIPASSANA TRADING PRIVATE LIMITED,Bihar,2020-01-29,3
U18109BR2020PTC045223,ORTAL FASHION PRIVATE LIMITED,Bihar,2020-01-29,3
U65999BR2020PTC045232,SAMANTA FINANCIAL SERVICES PRIVATELIMITED,Bihar,2020-01-29,3
U18202BR2020OPC045227,SHOBHASAURAV READYMADE GARMENTS (OPC)PRIVATE LIMITED,Bihar,2020-01-29,3
U19100BR2020OPC045221,SUNITARAGHU LEATHER ITEMS (OPC) PRIVATELIMITED,Bihar,2020-01-29,3
U22300BR2020PTC045219,TANYASHI EDUSERVE PRIVATE LIMITED,Bihar,2020-01-29,3
U45309BR2020PTC045220,CHHAPRA DEVELOPERS PRIVATE LIMITED,Bihar,2020-01-29,3
U45309BR2020PTC045230,KUMAR AND BROTHERS CONSTRUCTION PRIVATELIMITED,Bihar,2020-01-29,3
U45309BR2020PTC045234,SAHYOG AND SADBHAWNA CONSTRUCTIONPRIVATE LIMITED,Bihar,2020-01-29,3
U45400BR2020PTC045222,BABA LAXMINATH INDUSTRIES PRIVATELIMITED,Bihar,2020-01-29,3
U72900BR2020PTC045241,BPR NETWORK INDIA PRIVATE LIMITED,Bihar,2020-01-29,3
U74999BR2020PTC045236,INNOVATE INSPIRATION INDIA PRIVATELIMITED,Bihar,2020-01-29,3
U74999BR2020PTC045237,ADDITION ELECTRIC INDIA PRIVATE LIMITED,Bihar,2020-01-29,3
U01100BR2020PTC045203,AADHARSHILA FARMER PRODUCER COMPANYLIMITED,Bihar,2020-01-28,4
U72200BR2020PTC045186,TRADIC SOLUTIONS AND SERVICES PRIVATELIMITED,Bihar,2020-01-28,4
U29190BR2020OPC045206,MARPA ISHWAR DAS MINIRAL WATER (OPC)PRIVATE LIMITED,Bihar,2020-01-28,4
U31909BR2020OPC045212,VIWAN ELECTRONICS (OPC) PRIVATE LIMITED,Bihar,2020-01-28,4
U41000BR2020PTC045204,ADITI ENVIRO ENGINEERS PRIVATE LIMITED,Bihar,2020-01-28,4
U45201BR2020PTC045190,MAHAMADPUR CONSTRUCTION PRIVATE LIMITED,Bihar,2020-01-28,4
U45201BR2020PTC045196,NAVSAM 16 HERITAGE PRIVATE LIMITED,Bihar,2020-01-28,4
U93090BR2020PTC045187,SHREE SHARWAN MANAGEMENT PRIVATE LIMITED,Bihar,2020-01-28,4
U15400BR2020OPC045209,BILATSATYENDRA BEKARI (OPC) PRIVATELIMITED,Bihar,2020-01-28,4
U15400BR2020PTC045193,HARI ANAND FOODS PRIVATE LIMITED,Bihar,2020-01-28,4
U63030BR2020OPC045210,VIDJA TOURS AND TRAVELS (OPC) PRIVATELIMITED,Bihar,2020-01-28,4
U55101BR2020PTC045199,SWAYAMVAR HOTELS AND RESTAURANTS PRIVATELIMITED,Bihar,2020-01-28,4
